date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:07	56142/56142	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:58:52%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/index.html	(from )
12:12:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2017:12:08%20GMT	https://duruthemes.com/robots.txt		(from )
12:12:09	6270/6270	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2012:59:30%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/img/favicon.png	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/img/favicon.png	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:09	888/888	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2012:59:27%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/css/plugins.css	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/css/plugins.css	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:10	118435/118435	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202023%2012:59:27%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/css/style.css	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/css/style.css	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:10	17041/17041	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Jun%202023%2012:59:30%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/img/logo.png	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/img/logo.png	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:10	21629/21629	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:58:52%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/about.html	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/about.html	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:11	27536/27536	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:58:53%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/services.html	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/services.html	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:11	25893/25893	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:58:53%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/pricing.html	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/pricing.html	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:11	17302/17302	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:58:53%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/portfolio.html	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/portfolio.html	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
12:12:12	26086/26086	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20Jun%202023%2012:58:52%20GMT	https://duruthemes.com/demo/html/perukar/multipage-slideshow/team.html	C:/Users/HP/Desktop/123/duruthemes.com/demo/html/perukar/multipage-slideshow/team.html	(from https://duruthemes.com/demo/html/perukar/multipage-slideshow/index.html)
